0,1,2,3,4,Class
555,276,473,78,382,0
566,430,455,73,240,0
459,351,499,73,382,0
737,253,423,147,204,0
744,341,309,126,244,0
1028,191,268,131,146,0
812,179,386,213,174,0
760,260,384,145,215,0
601,257,470,156,280,0
994,68,357,218,127,0
681,131,511,227,214,0
1021,168,246,200,129,0
506,318,472,82,386,0
1274,119,177,116,78,0
920,227,292,167,158,0
962,189,287,153,173,0
614,332,442,84,292,0
977,178,291,163,155,0
648,307,435,132,242,0
505,312,547,121,279,0
975,180,319,104,186,0
568,304,409,72,411,0
828,239,362,131,204,0
941,158,307,215,143,0
552,375,480,102,255,0
492,285,523,84,380,0
345,351,594,83,391,0
800,221,346,207,190,0
608,204,492,171,289,0
586,278,504,145,251,0
380,382,554,69,379,0
720,329,347,127,241,0
405,355,512,70,422,0
517,278,538,135,296,0
962,148,282,228,144,0
948,175,264,209,168,0
524,259,555,162,264,0
526,319,493,114,312,0
577,262,487,172,266,0
1210,70,220,190,74,0
672,338,400,120,234,0
564,336,531,116,217,0
667,298,432,114,253,0
492,350,487,104,331,0
737,268,373,163,223,0
753,232,370,190,219,0
706,310,397,132,219,0
634,314,422,126,268,0
580,375,446,81,282,0
693,240,429,162,240,0
882,178,310,206,188,0
685,267,428,171,213,0
679,361,417,98,209,0
611,320,450,123,260,0
749,231,390,137,257,0
788,194,383,199,200,0
720,239,427,166,212,0
714,216,417,202,215,0
677,128,566,217,176,0
613,194,519,191,247,0
608,323,420,105,308,0
698,236,461,168,201,0
1026,77,259,313,89,0
657,272,450,149,236,0
700,320,399,128,217,0
834,268,304,173,185,0
340,367,630,73,354,0
159,445,565,0,595,0
580,339,440,100,305,0
412,415,548,58,331,0
611,314,451,118,270,0
676,311,378,135,264,0
645,275,447,161,236,0
724,306,376,131,227,0
688,228,440,171,237,0
690,239,380,188,267,0
861,192,296,208,207,0
716,299,405,144,200,0
908,153,286,211,206,0
908,183,260,233,180,0
377,385,564,67,371,0
827,273,305,179,180,0
506,394,475,75,314,0
587,392,440,77,268,0
745,317,338,136,228,0
575,300,464,153,272,0
928,230,238,199,169,0
1189,119,183,135,138,0
550,329,471,121,293,0
422,432,520,40,350,0
559,320,488,113,284,0
763,224,361,187,229,0
343,364,543,64,450,0
819,195,361,208,181,0
