0,1,2,3,4,Class
804,258,366,137,199,2
459,383,477,77,368,2
964,142,281,240,137,2
467,337,540,117,303,2
876,214,288,212,174,2
601,393,402,101,267,2
363,460,540,38,363,2
369,348,545,65,437,2
1148,149,219,122,126,2
221,384,633,39,487,2
950,115,327,232,140,2
574,299,483,168,240,2
554,373,499,88,250,2
509,425,472,53,305,2
836,189,374,144,221,2
765,215,387,160,237,2
868,204,313,187,192,2
666,265,404,151,278,2
588,358,470,87,261,2
275,431,534,55,469,2
450,348,536,103,327,2
1083,123,258,133,167,2
935,114,318,172,225,2
690,341,373,133,227,2
587,287,510,105,275,2
1057,155,256,135,161,2
600,296,393,148,327,2
455,416,500,70,323,2
507,322,469,123,343,2
1206,107,204,127,120,2
729,276,357,143,259,2
1195,99,179,154,137,2
890,114,380,258,122,2
310,414,610,56,374,2
685,281,421,159,218,2
964,159,268,201,172,2
927,172,312,227,126,2
1060,108,312,169,115,2
692,229,424,153,266,2
833,212,356,204,159,2
584,309,493,122,256,2
652,294,438,107,273,2
910,202,311,132,209,2
848,264,335,122,195,2
938,188,302,153,183,2
646,319,431,122,246,2
758,238,385,116,267,2
909,182,308,247,118,2
803,262,345,110,244,2
904,226,303,169,162,2
957,57,406,222,122,2
697,296,370,80,321,2
628,275,440,152,269,2
814,191,406,167,186,2
837,213,332,175,207,2
