0,1,2,3,4,Class
692,286,437,125,224,1
788,219,315,212,230,1
569,278,488,111,318,1
638,227,475,172,252,1
676,222,480,154,232,1
283,385,632,78,386,1
618,275,470,162,239,1
524,282,425,84,449,1
755,244,423,157,185,1
521,315,486,105,337,1
662,278,438,149,237,1
628,321,439,120,256,1
715,287,388,161,213,1
515,310,511,124,304,1
521,386,433,45,379,1
465,378,474,58,389,1
840,206,364,193,161,1
538,417,443,52,314,1
341,361,561,92,409,1
598,289,452,156,269,1
350,356,459,61,538,1
279,409,586,36,454,1
482,383,493,74,332,1
447,367,548,94,308,1
715,226,354,207,262,1
526,367,482,79,310,1
771,199,378,211,205,1
549,316,502,97,300,1
656,292,435,96,285,1
677,412,383,85,207,1
775,229,374,128,258,1
679,231,479,175,200,1
420,290,499,119,436,1
702,338,401,114,209,1
402,317,557,102,386,1
240,320,669,82,453,1
471,353,539,102,299,1
688,231,435,159,251,1
742,248,441,167,166,1
859,195,302,238,170,1
836,179,387,190,172,1
637,258,470,168,231,1
530,340,464,97,333,1
666,243,425,123,307,1
211,458,630,31,434,1
609,308,460,141,246,1
390,387,531,55,401,1
656,251,439,155,263,1
609,331,416,111,297,1
704,268,421,115,256,1
760,225,383,194,202,1
687,288,437,97,255,1
792,288,319,157,208,1
564,434,396,64,306,1
476,397,497,60,334,1
298,438,601,51,376,1
425,417,513,58,351,1
236,425,627,21,455,1
310,407,554,50,443,1
681,233,458,125,267,1
507,376,456,79,346,1
523,371,473,100,297,1
788,232,354,188,202,1
455,402,509,64,334,1
431,301,523,107,402,1
619,356,437,100,252,1
513,404,498,76,273,1
486,356,478,102,342,1
453,354,531,75,351,1
485,407,533,61,278,1
861,256,275,198,174,1
839,194,290,222,219,1
695,263,407,155,244,1
507,353,483,106,315,1
444,443,519,56,302,1
198,347,584,32,603,1
299,450,534,38,443,1
790,242,370,165,197,1
278,437,575,47,427,1
715,283,371,167,228,1
574,311,434,123,322,1
365,395,591,61,352,1
367,434,522,40,401,1
742,254,431,121,216,1
633,327,420,105,279,1
292,396,563,52,461,1
368,476,553,24,343,1
814,195,383,159,213,1
535,364,479,110,276,1
834,230,330,170,200,1
658,274,440,156,236,1
684,301,369,157,253,1
494,409,464,77,320,1
297,414,624,68,361,1
278,438,596,49,403,1
275,377,494,47,571,1
406,409,539,72,338,1
680,238,437,157,252,1
425,337,558,106,338,1
689,358,400,106,211,1
546,307,447,119,345,1
875,180,355,185,169,1
414,395,542,75,338,1
474,372,485,83,350,1
511,394,482,71,306,1
732,227,423,170,212,1
793,223,378,143,227,1
479,393,492,68,332,1
713,310,336,148,257,1
887,180,309,189,199,1
729,290,386,143,216,1
685,272,426,133,248,1
479,391,501,75,318,1
221,384,630,45,484,1
692,321,387,128,236,1
725,236,427,177,199,1
827,180,442,172,143,1
